,publisher_link,publisher,journal_link,journal,count,date,ISSN
483,http://edirc.repec.org/data/searcph.html,Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA),/s/sag/seajad.html,AsianJournal of Agriculture and Development,190 (190),2004-2018 (FULL),
484,http://edirc.repec.org/data/searcph.html,Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA),/s/ags/phajad.html,AsianJournal of Agriculture and Development,193 (193),2004-2019,
485,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/ajosrd.html,AsianJournal of Agriculture and rural Development,108 (108),2012-2019 (FULL),
486,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/ajemod.html,AsianJournal of Economic Modelling,126 (126),2013-2019 (FULL),
487,http://www.asianonlinejournals.com/index.php/AJEER,Asian Online Journal Publishing Group,/s/aoj/ajeaer.html,AsianJournal of Economics and Empirical Research,73 (72),2014-2019 (FULL),
488,http://www.aessweb.com/,Asian Economic and Social Society,/s/asi/ajoerj.html,AsianJournal of Empirical Research,146 (146),2012-2019 (FULL),
489,https://www.degruyter.com,De Gruyter,/s/bpj/ajlecn.html,AsianJournal of Law and Economics,101 (101),2010-2019 (FULL),
490,http://www.asianonlinejournals.com/index.php/AJSSMS/index,Asian Online Journal Publishing Group,/s/aoj/ajssms.html,AsianJournal of Social Sciences and Management Studies,110 (110),2014-2018 (FULL),
491,http://www.emeraldinsight.com,Emerald Group Publishing,/s/eme/arapps.html,AsianReview of Accounting,185 (185),2007-2018,
492,http://edirc.repec.org/data/cepflch.html,Canadian Center of Science and Education,/s/ibn/assjnl.html,AsianSocial Science,24 (24),2016-2016,
493,http://www.tandfonline.com/FAPB20,Taylor & Francis Journals,/s/taf/apbizr.html,AsiaPacific Business Review,990 (990),1996-2019,1360-2381
494,http://www.blackwellpublishing.com/journal.asp?ref=0818-9935,"Asia Pacific School of Economics and Government, The Australian National University",/s/bla/apacel.html,Asian-PacificEconomic Literature,584 (559),1987-2019,
495,http://edirc.repec.org/data/escapth.html,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),/s/unt/jnapdj.html,Asia-PacificDevelopment Journal,141 (141),2005-2017,
496,http://www.springer.com,SpringerJapanese Association of Financial Economics and Engineering,/s/kap/apfinm.html,Asia-PacificFinancial Markets,294 (294),1997-2019,1387-2834
497,http://www.tandfonline.com/raae20,Taylor & Francis Journals,/s/taf/raaexx.html,Asia-PacificJournal of Accounting & Economics,249 (249),2010-2019,1608-1625
498,http://www.springer.com,Springer,/s/kap/asiapa.html,AsiaPacific Journal of Management,632 (632),1991-2019,0217-4561
499,http://www.worldscinet.com/apjor/apjor.shtml,World Scientific Publishing Co. Pte. Ltd.,/s/wsi/apjorx.html,Asia-PacificJournal of Operational Research (APJOR),744 (744),2004-2019,1793-7019
500,http://www.tandfonline.com/RAPA20,Taylor & Francis Journals,/s/taf/rapaxx.html,AsiaPacific Journal of Public Administration,235 (235),2004-2019,2327-6665
501,https://www.degruyter.com,De Gruyter,/s/bpj/apjrin.html,Asia-PacificJournal of Risk and Insurance,150 (150),2005-2019 (FULL),
502,http://edirc.repec.org/data/escapth.html,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),/s/unt/jnappj.html,Asia-PacificPopulation Journal,105 (105),1986-2016,
503,http://www.springer.com,SpringerGerman Statistical Society,/s/spr/alstar.html,AStAAdvances in Statistical Analysis,348 (348),2005-2019,0002-6018
504,http://www.springer.com,SpringerDeutsche Statistische Gesellschaft - German Statistical Society,/s/spr/astaws.html,AStAWirtschafts- und Sozialstatistisches Archiv,243 (243),2007-2019 (FULL),1863-8163
505,https://journals.cambridge.org/jid_ASB,Cambridge University Press,/s/cup/astinb.html,ASTINBulletin: The Journal of the International Actuarial Association,1303 (1303),1958-2019 (FULL),
506,http://www.springer.com,SpringerInternational Atlantic Economic Society,/s/kap/atlecj.html,AtlanticEconomic Journal,1082 (1082),1997-2019,0197-4254
507,http://revista.cafr.ro/,Chamber of Financial Auditors of Romania,/s/aud/audfin.html,TheAuditFinanciar journal,93 (93),2016-2018,1844-8801
508,http://edirc.repec.org/data/siasrch.html,"University of St. Gallen, School of Economics and Political Science, Swiss Institute for International Economics and Applied Economics Research",/s/usg/auswrt.html,Aussenwirtschaft,265 (265),2002-2018,
509,http://edirc.repec.org/data/wifooat.html,WIFO,/s/wfo/wquart.html,AustrianEconomic Quarterly,347 (347),1996-2013 (FULL),
510,http://www.agrifood.info/review/,"University of Melbourne, Melbourne School of Land and Environment",/s/ags/auagre.html,AustralasianAgribusiness Review,144 (144),2000-2018,
511,http://edirc.repec.org/data/decuqau.html,"University of Queensland, School of Economics",/s/aje/articl.html,AustralasianJournal of Economics Education (AJEE),2 (2),2004-2005 (FULL),
512,http://www.blackwellpublishing.com/journal.asp?ref=1035-6908,CPA Australia,/s/bla/ausact.html,AustralianAccounting Review,773 (773),1991-2019,1035-6908
513,http://www.blackwellpublishing.com/journal.asp?ref=1369-1473,Australian Statistical Publishing Association Inc.,/s/bla/anzsta.html,Australian& New Zealand Journal of Statistics,77 (77),2002-2004,
514,http://edirc.repec.org/data/nilflau.html,National Institute of Labour Studies,/s/fli/journl.html,AustralianBulletin of Labour,226 (226),2001-2016,
515,http://edirc.repec.org/data/oznzsea.html,Economic History Society of Australia and New Zealand,/s/bla/ozechr.html,AustralianEconomic History Review,317 (293),2003-2019,
516,http://www.blackwellpublishing.com/journal.asp?ref=0004-900X,Wiley Blackwell,/s/bla/ausecp.html,AustralianEconomic Papers,1343 (542),1969-2019,
517,http://edirc.repec.org/data/mimelau.html,"The University of Melbourne, Melbourne Institute of Applied Economic and Social Research",/s/bla/ausecr.html,AustralianEconomic Review,1617 (1584),1968-2019,
518,http://edirc.repec.org/data/aaresea.html,Australian Agricultural and Resource Economics Society,/s/bla/ajarec.html,AustralianJournal of Agricultural and Resource Economics,1225 (1198),1957-2019,
519,http://edirc.repec.org/data/aaresea.html,Australian Agricultural and Resource Economics Society,/s/ags/aareaj.html,AustralianJournal of Agricultural and Resource Economics,698 (698),1997-2016,
520,http://edirc.repec.org/data/aaresea.html,Australian Agricultural and Resource Economics Society,/s/ags/ajaeau.html,AustralianJournal of Agricultural Economics,828 (828),1957-1996,
521,http://edirc.repec.org/data/becurau.html,"Bankwest Curtin Economics Centre (BCEC), Curtin Business School",/s/ozl/journl.html,AustralianJournal of Labour Economics (AJLE),316 (84),2000-2017,
522,http://www.agsm.edu.au,Australian School of Business,/s/sae/ausman.html,AustralianJournal of Management,750 (750),1976-2018,
523,http://edirc.repec.org/data/searcph.html,Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA),/s/sag/seasrf.html,AWG-SFStrategic Response Fund (ASRF) Learning Notes,15 (15),2017-2017,
524,http://edirc.repec.org/data/iaeemua.html,Institute of agroecology and environmental management,/s/bnu/journl.html,BalancedNature Using,671 (671),2012-2018,
525,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/brcebe.html,BalkanRegion Conference on Engineering and Business Education,213 (213),2014-2017 (FULL),
526,http://edirc.repec.org/data/biceplv.html,Baltic International Centre for Economic Policy Studies,/s/bic/journl.html,BalticJournal of Economics,136 (136),2002-2018,1406-099X
527,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/bjeust.html,BalticJournal of European Studies,120 (120),2013-2018,
528,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/bjrecm.html,BalticJournal of Real Estate Economics and Construction Management,71 (71),2015-2019,
529,https://www.rivisteweb.it/,Società editrice il Mulino,/s/mul/jqmthn.html,BancaImpresa Società,450 (450),1997-2019,1120-9453
530,http://www.economiacivile.it,Banca Nazionale del Lavoro,/s/psl/bnlqrr.html,BancaNazionale del Lavoro Quarterly Review,241 (241),1967-2013,
531,http://www.bancaria.it,Bancaria Editrice,/s/ban/bancar.html,BANCARIA,607 (607),2006-2019,
532,http://edirc.repec.org/data/nbpgvpl.html,Narodowy Bank Polski,/s/nbp/nbpbik.html,Banki Kredyt,99 (99),2009-2017,
533,http://edirc.repec.org/data/bocgvca.html,Bank of Canada,/s/bca/bcarev.html,Bankof Canada Review,307 (307),1994-2017,
534,http://edirc.repec.org/data/boegvuk.html,Bank of England,/s/boe/qbullt.html,Bankof England Quarterly Bulletin,249 (249),2009-2019,
535,http://www.eska.fr/,ESKA Publishing,/s/rbq/journl.html,"Bankers,Markets & Investors",80 (80),2014-2016,
536,http://edirc.repec.org/data/frbdaus.html,Federal Reserve Bank of Dallas,/s/fip/feddpe.html,Bankingand Community Perspectives,138 (138),1995-2012,
537,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpbp.html,BankingPolicy Review,2 (2),2015-2016 (FULL),
538,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpbt.html,BankingTrends,8 (8),2015-2019 (FULL),
539,http://or.upmin.edu.ph/OJS/index.php/banwa,University of the Philippines Mindanao,/s/ags/phbanw.html,BANWA:A Multidisciplinary Journal,21 (21),2008-2009,
540,https://www.degruyter.com,De Gruyter,/s/bpj/bistud.html,BasicIncome Studies,233 (233),2006-2018 (FULL),
541,https://www.degruyter.com,De Gruyter,/s/bpj/bejeap.html,TheB.E.Journal of Economic Analysis & Policy,1143 (1143),2001-2019 (FULL),
542,https://www.degruyter.com,De Gruyter,/s/bpj/bejmac.html,TheB.E.Journal of Macroeconomics,592 (592),2001-2019 (FULL),
543,https://www.degruyter.com,De Gruyter,/s/bpj/bejtec.html,TheB.E.Journal of Theoretical Economics,524 (524),2001-2019 (FULL),
544,https://academic.oup.com/beheco,International Society for Behavioral Ecology,/s/oup/beheco.html,BehavioralEcology,2976 (2976),2002-2019,1045-2249
545,https://www.rje.org,The RAND Corporation,/s/rje/bellje.html,BellJournal of Economics,604 (601),1970-1983 (FULL),0361-915X
546,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpbn.html,Beyondthe Numbers,3 (3),2015-2017,
547,http://edirc.repec.org/data/rdisetr.html,"Research and Business Development Department, Borsa Istanbul",/s/bor/bifeca.html,BIFECBook of Abstracts & Proceedings,11 (11),2014-2014 (FULL),
548,http://edirc.repec.org/data/aieaaea.html,Italian Association of Agricultural and Applied Economics (AIEAA),/s/ags/aieabj.html,Bio-basedand Applied Economics Journal,94 (94),2012-2018,
549,http://www.blackwellpublishing.com/journal.asp?ref=0006-341X,The International Biometric Society,/s/bla/biomet.html,Biometrics,3447 (3447),1999-2019,
550,https://academic.oup.com/biomet,Biometrika Trust,/s/oup/biomet.html,Biometrika,1330 (1116),2002-2019,0006-3444
551,http://www.springer.com,Springer,/s/spr/bioerq.html,BiophysicalEconomics and Resource Quality,60 (60),2016-2019 (FULL),2366-0120
552,http://edirc.repec.org/data/bisssch.html,Bank for International Settlements,/s/bis/bisqtr.html,BIS QuarterlyReview,277 (277),2000-2019,
553,http://www.economiacivile.it,Banca Nazionale del Lavoro,/s/psl/bnlaqr.html,BNL QuarterlyReview,241 (241),1967-2013,
554,http://edirc.repec.org/data/deboutr.html,"Bogazici University, Department of Economics",/s/boz/journl.html,"BogaziciJournal, Review of Social, Economic and Administrative Studies",92 (92),2007-2017,
555,http://edirc.repec.org/data/cemlamx.html,"Centro de Estudios Monetarios Latinoamericanos, CEMLA",/s/cml/boletn.html,Boletín,267 (267),2000-2018,0186-7229
556,http://www.bde.es/,Banco de EspañaBoletín Económico Homepage,/s/bde/joures.html,BoletínEconómico,706 (706),1999-2019,
557,https://www.tplondon.com/,"Transnational Press London, UK",/s/mig/bcwpap.html,BorderCrossing,63 (63),2011-2017,2046-4436
558,http://edirc.repec.org/data/rdisetr.html,"Research and Business Development Department, Borsa Istanbul",/s/bor/bistre.html,BorsaIstanbul Review,127 (127),2013-2019,
559,http://brand.edusoft.ro,EduSoft Publishing,/s/bra/journl.html,"BRAND.Broad Research in Accounting, Negotiation, and Distribution",60 (60),2010-2016,
560,http://edirc.repec.org/data/fucapbr.html,Fucape Business School,/s/bbz/fcpbbr.html,BrazilianBusiness Review,762 (762),2004-2019,
561,http://edirc.repec.org/data/dufpebr.html,"Department of Economics, Universidade Federal de Pernambuco",/s/bej/issued.html,BrazilianElectronic Journal of Economics,42 (42),1997-2004 (FULL),
562,http://edirc.repec.org/data/soberea.html,Sociedade Brasileira de Economia e Sociologia Rural,/s/ags/rdecag.html,BrazilianJournal of Rural Economy and Sociology (Revista de Economia e Sociologia Rural-RESR),603 (603),1979-2017,
563,http://edirc.repec.org/data/sbeeeea.html,Sociedade Brasileira de Econometria - SBE,/s/sbe/breart.html,BrazilianReview of Econometrics,375 (375),1981-2019 (FULL),1980-2447
564,http://edirc.repec.org/data/drufvbr.html,"Federal University of Vicosa, Department of Agricultural Economics",/s/ags/rdeeag.html,Revista de Economia e AgronegócioBrazilianReview of Economics and Agribusiness,240 (240),2003-2017,
565,,Brazilian Society of Finance,/s/brf/journl.html,BrazilianReview of Finance,240 (240),2003-2016 (FULL),1679-0731
566,http://edirc.repec.org/data/frbslus.html,Federal Reserve Bank of St. Louis,/s/fip/fedlbr.html,Bridges,84 (84),2013-2018,
567,http://edirc.repec.org/data/frbatus.html,Federal Reserve Bank of Atlanta,/s/fip/fedabr.html,Federal ReserveBankof Atlanta Brief,4 (0),2002-2002,
568,https://journals.cambridge.org/jid_BAJ,Cambridge University Press,/s/cup/bracjl.html,BritishActuarial Journal,493 (493),1995-2017 (FULL),
569,http://edirc.repec.org/data/lsepsuk.html,London School of Economics,/s/bla/brjirl.html,BritishJournal of Industrial Relations,1336 (1287),1990-2019,
570,https://journals.cambridge.org/jid_JPS,Cambridge University Press,/s/cup/bjposi.html,BritishJournal of Political Science,1633 (1633),1971-2019 (FULL),
571,http://edirc.repec.org/data/esbrous.html,"Economic Studies Program, The Brookings Institution",/s/bin/bpeajo.html,BrookingsPapers on Economic Activity,861 (861),1970-2018,
572,http://edirc.repec.org/data/dulbebe.html,ULB -- Universite Libre de Bruxelles,/s/bxr/bxrceb.html,BrusselsEconomic Review,1084 (1049),1958-2014,
573,http://www.umk.ro/ro/buletin-stiintific-cercetare.html,Published by Cugetarea and indexed by Lumen Department of Economics on Behalf on Mihail Kogalniceanu University,/s/lum/rev5rl.html,BuletinStiintific - Scientific Bulletin,79 (78),2010-2013,
574,http://edirc.repec.org/data/mnbgvhu.html,Magyar Nemzeti Bank (Central Bank of Hungary),/s/mnb/bullet.html,MNBBulletin(discontinued),138 (138),2006-2014 (FULL),
575,http://edirc.repec.org/data/oecddfr.html,Éditions OCDE,/s/oec/neakab.html,Bulletinde droit nucléaire,146 (146),2005-2014,1684-3568
576,http://edirc.repec.org/data/bdfgvfr.html,Banque de France,/s/bfr/bullbf.html,Bulletinde la Banque de France,632 (455),2003-2019,
577,http://edirc.repec.org/data/bdfgvfr.html,Banque de France,/s/bfr/quarte.html,Quarterly selection of articles -Bulletinde la Banque de France,226 (205),2006-2018,
578,http://edirc.repec.org/data/opstrfr.html,Observatoire des Politiques Économiques en Europe (OPEE),/s/ulp/buopee.html,Bulletinde l'Observatoire des politiques économiques en Europe,303 (303),1999-2018,
579,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/bueoih.html,"Bulletin:Economics, Organisation and Informatics in Healthcare",29 (29),2011-2012,
580,http://www.riskmarket.co.uk/,Risk Market Journals,/s/rmk/rmkbae.html,Bulletinof Applied Economics,32 (32),2014-2019 (FULL),
581,http://edirc.repec.org/data/rffhlpk.html,Research Foundation for Humanity (RFH),/s/rfh/bbejor.html,Bulletinof Business and Economics (BBE),105 (105),2012-2018 (FULL),
582,http://www.blackwellpublishing.com/journal.asp?ref=0307-3378,Wiley Blackwell,/s/bla/buecrs.html,Bulletinof Economic Research,1073 (481),1970-2019,
583,http://edirc.repec.org/data/tesdopk.html,The Economics and Social Development Organization (TESDO),/s/ijr/beejor.html,Bulletinof Energy Economics (BEE),48 (48),2013-2016 (FULL),
584,http://betajournals.org/,BETA Journals,/s/ris/betajl.html,Bulletinof Economic Theory and Analysis,19 (19),2016-2017 (FULL),
585,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/buogeo.html,Bulletinof Geography. Socio-economic Series,375 (375),2008-2019,
586,http://www.tandfonline.com/CBIE20,Taylor & Francis Journals,/s/taf/bindes.html,Bulletinof Indonesian Economic Studies,578 (578),1997-2019,0007-4918
587,http://cyberleninka.ru/,CyberLeninkaИздательско-полиграфический центр «Киевский университет»,/s/scn/013723.html,Bulletinof Taras Shevchenko National University of Kyiv. Economics. Вісник Киiвського нацiонального унiверситету iм. Тараса Шевченка. Серiя: Економiка,1452 (1452),2008-2016,
588,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/bucris.html,CRIS -Bulletinof the Centre for Research and Interdisciplinary Study,51 (51),2012-2016,
589,http://edirc.repec.org/data/czessea.html,The Czech Econometric Society,/s/czx/journl.html,Bulletinof the Czech Econometric Society,175 (175),1995-2014,
590,http://edirc.repec.org/data/frbslus.html,Federal Reserve Bank of St. Louis,/s/fip/fedlbb.html,BurgundyBooks,140 (140),2008-2016,
591,http://edirc.repec.org/data/pradecz.html,Prague Development Center,/s/pdc/jrnbeh.html,Businessand Economic Horizons (BEH),255 (255),2010-2018,
592,http://www.macrothink.org/journal/index.php/ber,Macrothink Institute,/s/mth/ber888.html,Businessand Economic Research,342 (342),2012-2019,
593,http://edirc.repec.org/data/imspepk.html,"Institute of Management Sciences, Peshawar, Pakistan",/s/bec/imsber.html,Business& Economic Review,163 (163),2009-2019,
594,http://edirc.repec.org/data/iiulutr.html,"Uludag University, Faculty of Economics and Administrative Sciences",/s/ris/buecrj.html,Businessand Economics Research Journal,420 (420),2010-2019 (FULL),1309-2448
595,http://www.scienpress.com/,SCIENPRESS Ltd,/s/spt/busent.html,Business& Entrepreneurship Journal,55 (55),2012-2019 (FULL),
596,https://journals.cambridge.org/jid_BHJ,Cambridge University Press,/s/cup/buhurj.html,Businessand Human Rights Journal,110 (110),2016-2019 (FULL),
597,http://edirc.repec.org/data/cepflch.html,Redfame publishing,/s/rfa/bmsjnl.html,Businessand Management Studies,142 (142),2015-2019 (FULL),
598,http://www.springer.com,SpringerGesellschaft für Informatik e.V. (GI),/s/spr/binfse.html,Business& Information Systems Engineering: The International Journal of WIRTSCHAFTSINFORMATIK,522 (522),2009-2019 (FULL),1867-0202
599,http://edirc.repec.org/data/ssmarea.html,Scientific Society of Management from Romania,/s/ssm/journl.html,Business&Leadership,84 (84),2008-2012 (FULL),
600,http://www.macrothink.org/journal/index.php/bmh,Macrothink Institute,/s/mth/bmh888.html,Businessand Management Horizons,64 (64),2013-2017 (FULL),
601,https://www.degruyter.com,De Gruyter,/s/bpj/buspol.html,Businessand Politics,310 (310),1999-2016,
602,https://journals.cambridge.org/jid_BAP,Cambridge University Press,/s/cup/buspol.html,Businessand Politics,378 (378),1999-2019,
603,http://www.palgrave-journals.com/,Palgrave MacmillanNational Association for Business Economics,/s/pal/buseco.html,BusinessEconomics,544 (544),2005-2019,0007-666X
604,,The Institute for Business and Finance Research,/s/ibf/beaccr.html,BusinessEducation and Accreditation,144 (144),2009-2017,
605,https://journals.cambridge.org/jid_BEQ,Cambridge University Press,/s/cup/buetqu.html,BusinessEthics Quarterly,1187 (1187),1991-2019 (FULL),
606,http://edirc.repec.org/data/mnasero.html,"Faculty of Management, Academy of Economic Studies, Bucharest, Romania",/s/rom/bemann.html,BusinessExcellence and Management,155 (155),2011-2017 (FULL),
607,http://edirc.repec.org/data/frbdaus.html,Federal Reserve Bank of Dallas,/s/fip/feddbf.html,BusinessFrontier,17 (17),1998-2004,
608,http://www.tandfonline.com/FBSH20,Taylor & Francis Journals,/s/taf/bushst.html,BusinessHistory,1892 (1892),1997-2019,0007-6791
609,http://edirc.repec.org/data/harbsus.html,Harvard Business School,/s/hbs/journl.html,BusinessHistory Review,18 (18),2008-2010,
610,https://journals.cambridge.org/jid_BHR,Cambridge University Press,/s/cup/buhirw.html,BusinessHistory Review,7603 (7603),1926-2019 (FULL),
611,http://www.elsevier.com/locate/bushor,Elsevier,/s/eee/bushor.html,BusinessHorizons,4249 (4249),1958-2019 (FULL),0007-6813
612,http://www.business-inform.net,"RESEARCH CENTRE FOR INDUSTRIAL DEVELOPMENT PROBLEMS of NAS (KHARKIV, UKRAINE), Kharkiv National University of Economics",/s/idp/bizinf.html,BusinessInform,1514 (1514),2012-2014,2222-4459
613,http://edirc.repec.org/data/efosihr.html,"Josip Juraj Strossmayer University of Osijek, Faculty of Economics, Croatia",/s/osi/bulimm.html,BusinessLogistics in Modern Management,249 (249),2008-2018,
614,http://edirc.repec.org/data/tsenobg.html,"D. A. Tsenov Academy of Economics, Svishtov, Bulgaria",/s/dat/bmngmt.html,BusinessManagement,277 (277),2011-2019,
615,http://arpgweb.com/index.php?ic=journal&journal=8&info=aims,Academic Research Publishing Group,/s/arp/bmerar.html,"Business,Management and Economics Research",87 (87),2015-2019 (FULL),
616,http://www.springer.com,SpringerGerman Academic Association for Business Research,/s/spr/busres.html,BusinessResearch,50 (50),2016-2019,2198-2627
617,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpbr.html,BusinessReview,549 (543),1975-2015,
618,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0836,Wiley Blackwell,/s/bla/bstrat.html,BusinessStrategy and the Environment,387 (387),2014-2019,
619,https://www.sciendo.com/services/journals,Sciendo,/s/bit/bsrysr.html,BusinessSystems Research,148 (148),2010-2019 (FULL),
620,http://edirc.repec.org/data/inrapfr.html,INRA Department of Economics,/s/rae/jouces.html,Cahiersd'Economie et Sociologie Rurales,501 (501),1984-2007,
621,http://edirc.repec.org/data/inratfr.html,Institut National de la Recherche Agronomique (INRA),/s/ags/inrace.html,Cahiersd'Economie et de Sociologie Rurales (CESR),514 (513),1984-2007,
622,https://www.persee.fr/collection/cep,Programme National Persée,/s/prs/caecpo.html,Cahiersd'Économie Politique,382 (382),1974-2001,0154-8344
623,http://www.cahiersdecopo.fr/fr/,L'Harmattan,/s/cpo/journl.html,Cahiersd’économie politique   Papers in Political Economy,206 (206),2002-2015,0154-8344
624,https://academic.oup.com/cje,Oxford University Press,/s/oup/cambje.html,CambridgeJournal of Economics,1929 (939),1977-2019 (FULL),
625,https://academic.oup.com/cjres,Cambridge Political Economy Society,/s/oup/cjrecs.html,"CambridgeJournal of Regions, Economy and Society",325 (325),2007-2019 (FULL),1752-1378
626,http://edirc.repec.org/data/caefmea.html,Canadian Agricultural Economics Society/Societe canadienne d'agroeconomie,/s/bla/canjag.html,CanadianJournal of Agricultural Economics Revue canadienne d'agroeconomie,2289 (2267),1952-2019,
627,http://edirc.repec.org/data/ceaaaea.html,Canadian Economics Association,/s/cje/issued.html,CanadianJournal of Economics,2973 (2808),1968-2019 (FULL),
628,http://economics.ca/cpp/,University of Toronto Press,/s/cpp/issued.html,CanadianPublic Policy,1953 (1702),1975-2018 (FULL),
629,https://www.degruyter.com,De Gruyter,/s/bpj/capsoc.html,Capitalismand Society,96 (96),2006-2012 (FULL),
630,http://www.elsevier.com/locate/jme,Elsevier,/s/eee/crcspp.html,Carnegie-RochesterConference Series on Public Policy,744 (744),1976-2001 (FULL),0167-2231
631,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpca.html,Cascade,96 (95),2011-2018,
632,http://edirc.repec.org/data/frbphus.html,Federal Reserve Bank of Philadelphia,/s/fip/fedpcf.html,CascadeFocus,7 (7),2012-2018,
633,http://edirc.repec.org/data/catoous.html,"Cato Journal, Cato Institute",/s/cto/journl.html,CatoJournal,1536 (1536),1981-2016,
634,http://edirc.repec.org/data/cdhowca.html,C.D. Howe Institute,/s/cdh/backgr.html,C.D.Howe Institute Backgrounder,47 (47),2007-2012,
635,http://edirc.repec.org/data/cdhowca.html,C.D. Howe Institute,/s/cdh/commen.html,C.D.Howe Institute Commentary,308 (308),2007-2019,
636,http://edirc.repec.org/data/ceaskmk.html,Center For Economic Analyses,/s/cmk/journl.html,Journal Articles,87 (87),2006-2016,
637,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/caeeur.html,Centraland Eastern European Review,29 (29),2014-2018,
638,http://edirc.repec.org/data/frbslus.html,Federal Reserve Bank of St. Louis,/s/fip/fedlcb.html,CentralBanker,74 (74),2010-2014 (FULL),
639,http://edirc.repec.org/data/tcmgvtr.html,"Research and Monetary Policy Department, Central Bank of the Republic of Turkey",/s/tcb/cebare.html,CentralBank Review,175 (175),2001-2019 (FULL),
640,http://edirc.repec.org/data/uevsecz.html,"University of Economics, Prague",/s/prg/jnlcbr.html,CentralEuropean Business Review,211 (211),2012-2019,1805-4862
641,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/ceuecj.html,CentralEuropean Economic Journal,400 (400),2001-2018,
642,http://cejeme.org/,CEJEME,/s/psc/journl.html,CentralEuropean Journal of Economic Modelling and Econometrics,111 (111),2009-2017 (FULL),
643,http://www.springer.com,SpringerSlovak Society for Operations ResearchHungarian Operational Research SocietyCzech Society for Operations ResearchÖsterr. Gesellschaft für Operations Research (ÖGOR)Slovenian Society Informatika - Section for Operational ResearchCroatian Operational Research Society,/s/spr/cejnor.html,CentralEuropean Journal of Operations Research,554 (554),2006-2019,1435-246X
644,https://www.sciendo.com/services/journals,Sciendo,/s/vrs/cejopp.html,CentralEuropean Journal of Public Policy,44 (44),2015-2018,
645,http://edirc.repec.org/data/cepiifr.html,CEPII research center,/s/cii/cepipa.html,Panorama duCEPII,12 (12),2012-2018,
646,http://edirc.repec.org/data/cep13fr.html,Centre d'Economie de l'Université de Paris Nord,/s/upn/policy.html,CEPNPolicy Brief,19 (19),2013-2017 (FULL),
647,http://edirc.repec.org/data/csjesro.html,"Centre for European Studies, Alexandru Ioan Cuza University",/s/jes/wpaper.html,CES WorkingPapers,516 (516),2009-2019 (FULL),
648,http://edirc.repec.org/data/ifooode.html,ifo Institute - Leibniz Institute for Economic Research at the University of Munich,/s/ces/ifodic.html,ifo DICE Report,649 (649),2003-2019 (FULL),
649,http://edirc.repec.org/data/cesifde.html,CESifo,/s/oup/cesifo.html,CESifoEconomic Studies,450 (450),2003-2019,1610-241X
650,http://edirc.repec.org/data/uevsecz.html,"University of Economics, Prague",/s/prg/jnlcfu.html,Český finanční a účetní časopis,526 (526),2006-2019,1802-2200
651,http://www.tandfonline.com/MCHA20,Taylor & Francis Journals,/s/mes/challe.html,Challenge,5060 (5060),1954-2019,0577-5132
652,https://www.mdpi.com/,"MDPI, Open Access Journal",/s/gam/jchals.html,Challenges,222 (222),2010-2019 (FULL),2078-1547
653,,Librello publishing house,/s/lib/000cis.html,Challengesin Sustainability,45 (45),2013-2019 (FULL),
654,http://edirc.repec.org/data/frbchus.html,Federal Reserve Bank of Chicago,/s/fip/fedhle.html,ChicagoFed Letter,558 (558),1987-2019 (FULL),
655,http://www.elsevier.com/locate/childyouth,Elsevier,/s/eee/cysrev.html,Childrenand Youth Services Review,4302 (4302),1979-2019 (FULL),0190-7409
656,http://www.emeraldinsight.com,Emerald Group Publishing,/s/eme/caerpp.html,ChinaAgricultural Economic Review,327 (327),2008-2018 (FULL),
657,http://edirc.repec.org/data/iwepacn.html,"Institute of World Economics and Politics, Chinese Academy of Social Sciences",/s/bla/chinae.html,China& World Economy,536 (509),2006-2019,
658,http://www.worldscinet.com/cepr/cepr.shtml,World Scientific Publishing Co. Pte. Ltd.,/s/wsi/ceprxx.html,ChinaEconomic Policy Review (CEPR),46 (46),2012-2016 (FULL),1793-9704
659,http://www.elsevier.com/locate/chieco,Elsevier,/s/eee/chieco.html,ChinaEconomic Review,1289 (1289),1990-2019 (FULL),1043-951X
